identity,label_index,support,precision,recall,f1-score,underrepresented,not_predicted
SalamanderID2025_12,98,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_120,99,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_121,100,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_123,102,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_128,107,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_129,108,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_13,109,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_131,111,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_133,113,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_134,114,2.0,0.0,0.0,0.0,True,True
SalamanderID2025_136,115,1.0,0.3333333333333333,1.0,0.5,True,False
SalamanderID2025_139,118,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_14,119,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_140,120,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_141,121,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_143,123,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_144,124,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_145,125,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_148,128,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_149,129,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_15,130,2.0,0.3333333333333333,0.5,0.4,True,False
SalamanderID2025_152,133,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_155,136,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_157,138,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_160,142,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_161,143,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_162,144,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_165,147,2.0,0.5,0.5,0.5,True,False
SalamanderID2025_169,150,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_17,151,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_170,152,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_173,155,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_175,157,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_178,160,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_180,163,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_181,164,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_182,165,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_186,166,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_192,173,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_195,175,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_196,176,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_198,178,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_199,179,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_2,180,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_20,181,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_200,182,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_204,185,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_205,186,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_206,187,2.0,0.0,0.0,0.0,True,True
SalamanderID2025_21,189,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_212,192,2.0,0.5,0.5,0.5,True,False
SalamanderID2025_214,194,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_215,195,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_218,198,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_219,199,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_220,201,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_225,206,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_23,210,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_230,211,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_235,216,1.0,0.25,1.0,0.4,True,False
SalamanderID2025_237,217,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_238,218,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_239,219,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_244,223,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_247,226,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_25,227,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_252,230,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_256,234,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_258,236,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_260,238,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_266,244,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_267,245,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_268,246,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_279,257,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_28,258,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_280,259,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_282,261,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_289,266,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_290,268,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_294,271,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_296,272,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_297,273,2.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_3,275,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_301,278,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_303,280,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_304,281,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_308,285,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_31,286,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_316,293,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_317,294,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_32,296,1.0,0.0,0.0,0.0,True,True
