epoch,train_loss,val_loss,val_acc,learning_rate
1,5.951357678982987,4.865768931128762,0.12304075235109718,2.6666666666666667e-05
2,4.405897244494012,3.418414240720504,0.34286833855799376,5.333333333333333e-05
3,2.842339280800254,2.1712858423730794,0.5873824451410659,8e-05
4,1.6078094427422889,1.580526725438695,0.7025862068965517,7.703703703703704e-05
5,0.7643060899031062,1.2923627903679136,0.7476489028213166,7.407407407407409e-05
6,0.33007759150927235,1.2327037908452152,0.7644984326018809,7.11111111111111e-05
7,0.18871956839655046,1.2788885554187817,0.7503918495297806,6.814814814814815e-05
8,0.14110201666629477,1.2814631579607305,0.7515673981191222,6.518518518518519e-05
9,0.1252597528231142,1.186509429631889,0.771551724137931,6.222222222222223e-05
10,0.10320031941456975,1.1893986697282444,0.7668495297805643,5.925925925925926e-05
11,0.09476021019584255,1.1894047047123955,0.7727272727272727,5.62962962962963e-05
12,0.07486496455670638,1.1598936713561212,0.7727272727272727,5.333333333333333e-05
13,0.06916866647609914,1.1744068392897666,0.7695924764890282,5.037037037037037e-05
14,0.055540145696060327,1.1605606136411475,0.7762539184952978,4.7407407407407407e-05
15,0.04735329706481188,1.1186093522387566,0.7848746081504702,4.444444444444445e-05
16,0.04321507809937211,1.1261124664389888,0.7927115987460815,4.148148148148148e-05
17,0.04226871403692309,1.1399797971205652,0.7884012539184952,3.851851851851852e-05
18,0.038803396335502026,1.1093446302824714,0.7934952978056427,3.555555555555555e-05
19,0.029362824255460405,1.12023425166682,0.799373040752351,3.259259259259259e-05
20,0.023785248232252067,1.0849588076658123,0.79858934169279,2.962962962962963e-05
21,0.025988084263817626,1.1019501036755064,0.7974137931034483,2.6666666666666667e-05
22,0.016490600210660105,1.0920831840499932,0.8005485893416928,2.3703703703703703e-05
23,0.015013703118339604,1.0888420533436112,0.8028996865203761,2.074074074074074e-05
24,0.0180153608441362,1.0419128286068549,0.8119122257053292,1.7777777777777777e-05
25,0.015379809487378064,1.0345954822858454,0.8177899686520376,1.4814814814814815e-05
26,0.012641089445342308,1.0480489768355181,0.8099529780564263,1.1851851851851852e-05
27,0.008702736835588119,1.026648236835776,0.8130877742946708,8.888888888888888e-06
28,0.009754625583706883,1.025240807744129,0.8166144200626959,5.925925925925926e-06
29,0.008133520310688348,1.0035807383190383,0.820141065830721,2.962962962962963e-06
30,0.009370617483780645,1.0073713824983364,0.8197492163009404,0.0
