epoch,train_loss,val_loss,val_acc,learning_rate
1,6.861771736101539,6.077346737481958,0.15869905956112854,3.3333333333333333e-06
2,4.962449148252017,3.888913014092042,0.46394984326018807,6.666666666666667e-06
3,2.950472177411104,2.4036382541387433,0.6586990595611285,1e-05
4,1.6430341813905804,1.6640668797268763,0.7703761755485894,9.966191788709716e-06
5,0.9514066267498177,1.3259990589231907,0.8087774294670846,9.86522435289912e-06
6,0.5705249798583224,1.1509685139390742,0.8217084639498433,9.698463103929542e-06
7,0.34975113380080414,1.0531533910165947,0.8318965517241379,9.468163201617063e-06
8,0.20642655383226516,0.9919513629977139,0.835423197492163,9.177439057064684e-06
9,0.12590126997290893,0.9522367661182409,0.8428683385579937,8.83022221559489e-06
10,0.0848951175077153,0.9269614269691271,0.8393416927899686,8.43120818934367e-06
11,0.06328112501263587,0.8908515258175452,0.844435736677116,7.985792958513932e-06
12,0.04948044815523575,0.8838370228872334,0.8420846394984326,7.500000000000001e-06
13,0.0388590007349686,0.866556065535132,0.8456112852664577,6.980398830195785e-06
14,0.029246487993464628,0.8489241985141425,0.8436520376175548,6.434016163555452e-06
15,0.02803089657227302,0.8579261494890953,0.8432601880877743,5.8682408883346535e-06
16,0.02415838856943586,0.8360897989386727,0.8467868338557993,5.290724144552379e-06
17,0.019995323124209506,0.8292965204787053,0.8471786833855799,4.7092758554476215e-06
18,0.01900793836623638,0.8204433926750488,0.8499216300940439,4.131759111665349e-06
19,0.016954816495699368,0.8163028539141617,0.8518808777429467,3.5659838364445505e-06
20,0.01590165511311239,0.8169956318880826,0.8514890282131662,3.019601169804216e-06
21,0.015995978675830448,0.8105518039311195,0.8499216300940439,2.5000000000000015e-06
22,0.01343977252585772,0.8079755626477266,0.8491379310344828,2.0142070414860704e-06
23,0.013295477397562434,0.803578469908116,0.8526645768025078,1.5687918106563326e-06
24,0.010690637179967058,0.8022767132900649,0.8530564263322884,1.1697777844051105e-06
25,0.01342645555212579,0.7991387918482018,0.8538401253918495,8.225609429353187e-07
26,0.011649454162997215,0.7988249098272268,0.8538401253918495,5.318367983829393e-07
27,0.012312785081743542,0.797888015074835,0.8546238244514106,3.015368960704584e-07
28,0.01281952453829342,0.7974723370519151,0.85423197492163,1.3477564710088097e-07
29,0.00971930472501451,0.7974655692719965,0.85423197492163,3.3808211290284886e-08
30,0.011613115909442837,0.7974335068129192,0.85423197492163,0.0
