epoch,train_loss,val_loss,val_acc,learning_rate
1,6.1960387316930206,5.39562853853157,0.06778996865203762,1.3333333333333333e-05
2,5.042701976389016,4.450370052952004,0.18808777429467086,2.6666666666666667e-05
3,3.9945616391242242,3.333271722767654,0.350705329153605,4e-05
4,2.8615244438356955,2.370674026130077,0.5325235109717869,3.851851851851852e-05
5,1.9723659100207842,1.9393867727498257,0.6328369905956113,3.703703703703704e-05
6,1.352543584018236,1.6284952065790639,0.6814263322884012,3.555555555555555e-05
7,0.9240569077941807,1.4356280856265933,0.7182601880877743,3.4074074074074077e-05
8,0.6442153540401423,1.3279141023927326,0.7468652037617555,3.259259259259259e-05
9,0.43229189121070316,1.2551338234981562,0.7597962382445141,3.111111111111112e-05
10,0.3062303172954606,1.2614306514277753,0.7582288401253918,2.962962962962963e-05
11,0.21357000186468214,1.223727054480769,0.7609717868338558,2.814814814814815e-05
12,0.15183448133020408,1.2416488267994863,0.7644984326018809,2.6666666666666667e-05
13,0.12399295541686459,1.2200114263505955,0.7601880877742947,2.5185185185185187e-05
14,0.09461768647296738,1.1556639309465055,0.7766457680250783,2.3703703703703703e-05
15,0.08475180875271997,1.2071491248755943,0.7762539184952978,2.2222222222222227e-05
16,0.06653587766679367,1.216676368033293,0.7664576802507836,2.074074074074074e-05
17,0.05965918699585751,1.1500417377769323,0.7813479623824452,1.925925925925926e-05
18,0.05275079147689367,1.1619755658010087,0.7793887147335423,1.7777777777777777e-05
19,0.0488222934165467,1.1463087725791308,0.7774294670846394,1.6296296296296297e-05
20,0.039688579080313875,1.1171647062751604,0.7919278996865203,1.4814814814814815e-05
21,0.03673698836898968,1.1583057748226626,0.7825235109717869,1.3333333333333333e-05
22,0.03398222784467284,1.1394213064703818,0.7938871473354232,1.1851851851851852e-05
23,0.028083546991515804,1.1278589619834896,0.792319749216301,1.037037037037037e-05
24,0.024638414788935876,1.1130772675896736,0.7931034482758621,8.888888888888888e-06
25,0.023075327155481353,1.077655496288207,0.8001567398119123,7.4074074074074075e-06
26,0.020542475871538787,1.0917019703092792,0.7966300940438872,5.925925925925926e-06
27,0.014735446725406613,1.09086475598882,0.799373040752351,4.444444444444444e-06
28,0.016671161663852897,1.074926739956564,0.8028996865203761,2.962962962962963e-06
29,0.011970186859803228,1.0552807496748404,0.8087774294670846,1.4814814814814815e-06
30,0.012569318736763181,1.056369211731159,0.8060344827586207,0.0
